"Set_Tab","Set_Column","Set_Value","Filter_Column","Filter_Value"
"scenes","Audio_Volume_Db","-24","ID","campfire"
"characters","Visible","1","ID","lindsay"
"characters","Visible","1","ID","johnny"
"characters","Visible","1","ID","sarah"
"characters","Animation_Current","idle","ID","lindsay"
"characters","Animation_Current","idle","ID","johnny"
"characters","Animation_Current","idle","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Screen_X","90","ID","lindsay"
"characters","Screen_X","5%","ID","lindsay"
"characters","Screen_Y","91.000001%","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Screen_X","90","ID","johnny"
"characters","Screen_X","5%","ID","johnny"
"characters","Screen_Y","84.999998%","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Screen_X","90","ID","sarah"
"characters","Screen_X","70","ID","lindsay"
"characters","Screen_X","80","ID","johnny"
"characters","Screen_X","90","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Current","1","ID","lindsay"
"script","Deactivate","1","ID","fire-campfire-#ff00ff"
"characters","Screen_X","89.999998%","ID","sarah"
"characters","Screen_Y","94.999997%","ID","sarah"
"scenes","Audio_Volume_Db","-24","ID","campfire"
"characters","Visible","1","ID","lindsay"
"characters","Visible","1","ID","johnny"
"characters","Visible","1","ID","sarah"
"characters","Animation_Current","idle","ID","lindsay"
"characters","Animation_Current","idle","ID","johnny"
"characters","Animation_Current","idle","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Screen_X","90","ID","lindsay"
"characters","Screen_X","5%","ID","lindsay"
"characters","Screen_Y","91.000001%","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Screen_X","90","ID","johnny"
"characters","Screen_X","5%","ID","johnny"
"characters","Screen_Y","84.999998%","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Screen_X","90","ID","sarah"
"characters","Screen_X","70","ID","lindsay"
"characters","Screen_X","80","ID","johnny"
"characters","Screen_X","90","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Current","1","ID","lindsay"
"script","Deactivate","1","ID","fire-campfire-#ff00ff"
"characters","Screen_X","89.999998%","ID","sarah"
"characters","Screen_Y","94.999997%","ID","sarah"
"scenes","Audio_Volume_Db","-24","ID","campfire"
"characters","Visible","1","ID","lindsay"
"characters","Visible","1","ID","johnny"
"characters","Visible","1","ID","sarah"
"characters","Animation_Current","idle","ID","lindsay"
"characters","Animation_Current","idle","ID","johnny"
"characters","Animation_Current","idle","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Screen_X","90","ID","lindsay"
"characters","Screen_X","5%","ID","lindsay"
"characters","Screen_Y","91.000001%","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Screen_X","90","ID","johnny"
"characters","Screen_X","5%","ID","johnny"
"characters","Screen_Y","84.999998%","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Screen_X","90","ID","sarah"
"characters","Screen_X","70","ID","lindsay"
"characters","Screen_X","80","ID","johnny"
"characters","Screen_X","90","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Current","1","ID","lindsay"
"script","Deactivate","1","ID","fire-campfire-#ff00ff"
"characters","Screen_X","89.999998%","ID","sarah"
"characters","Screen_Y","94.999997%","ID","sarah"
"scenes","Audio_Volume_Db","-24","ID","campfire"
"characters","Visible","1","ID","lindsay"
"characters","Visible","1","ID","johnny"
"characters","Visible","1","ID","sarah"
"characters","Animation_Current","idle","ID","lindsay"
"characters","Animation_Current","idle","ID","johnny"
"characters","Animation_Current","idle","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Screen_X","90","ID","lindsay"
"characters","Screen_X","5%","ID","lindsay"
"characters","Screen_Y","91.000001%","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Screen_X","90","ID","johnny"
"characters","Screen_X","5%","ID","johnny"
"characters","Screen_Y","84.999998%","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Screen_X","90","ID","sarah"
"characters","Screen_X","70","ID","lindsay"
"characters","Screen_X","80","ID","johnny"
"characters","Screen_X","90","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Current","1","ID","lindsay"
"script","Deactivate","1","ID","fire-campfire-#ff00ff"
"characters","Screen_X","89.999998%","ID","sarah"
"characters","Screen_Y","94.999997%","ID","sarah"
"scenes","Audio_Volume_Db","-24","ID","campfire"
"characters","Visible","1","ID","lindsay"
"characters","Visible","1","ID","johnny"
"characters","Visible","1","ID","sarah"
"characters","Animation_Current","idle","ID","lindsay"
"characters","Animation_Current","idle","ID","johnny"
"characters","Animation_Current","idle","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Screen_X","90","ID","lindsay"
"characters","Screen_X","5%","ID","lindsay"
"characters","Screen_Y","91.000001%","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Screen_X","90","ID","johnny"
"characters","Screen_X","5%","ID","johnny"
"characters","Screen_Y","84.999998%","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Screen_X","90","ID","sarah"
"characters","Screen_X","70","ID","lindsay"
"characters","Screen_X","80","ID","johnny"
"characters","Screen_X","90","ID","sarah"
"characters","Scene_ID","forest-03","ID","lindsay"
"characters","Scene_ID","forest-03","ID","johnny"
"characters","Scene_ID","forest-03","ID","sarah"
"characters","Current","1","ID","lindsay"
"script","Deactivate","1","ID","fire-campfire-#ff00ff"
"characters","Screen_X","89.999998%","ID","sarah"
"characters","Screen_Y","94.999997%","ID","sarah"
"characters","Scene_ID","forest-04","ID","lindsay"
"characters","Screen_X","90","ID","lindsay"
"characters","Screen_X","89.999998%","ID","lindsay"
"characters","Screen_Y","83.723958%","ID","lindsay"
"variables","Value","1","ID","numSticks"
"objects","Visible","0","ID","stick-04"
"characters","Screen_X","60.000002%","ID","lindsay"
"characters","Screen_Y","82.000001%","ID","lindsay"
"variables","Value","2","ID","numSticks"
"objects","Visible","0","ID","stick-03"
"characters","Screen_X","34.999999%","ID","lindsay"
"characters","Screen_Y","77.999997%","ID","lindsay"
"characters","Scene_ID","forest-05","ID","lindsay"
"characters","Screen_X","90","ID","lindsay"
"characters","Screen_X","89.999998%","ID","lindsay"
"characters","Screen_Y","86.588542%","ID","lindsay"
"variables","Value","3","ID","numSticks"
"objects","Visible","0","ID","stick-07"
"characters","Screen_X","89.999998%","ID","lindsay"
"characters","Screen_Y","84.999998%","ID","lindsay"
"variables","Value","4","ID","numSticks"
"objects","Visible","0","ID","stick-06"
"characters","Screen_X","44.999999%","ID","lindsay"
"characters","Screen_Y","80.000003%","ID","lindsay"
"characters","Current","1","ID","sarah"
"variables","Value","5","ID","numSticks"
"objects","Visible","0","ID","stick-02"
"characters","Screen_X","67.000002%","ID","sarah"
"characters","Screen_Y","90.000002%","ID","sarah"
"variables","Value","6","ID","numSticks"
"objects","Visible","0","ID","stick-01"
"characters","Screen_X","25%","ID","sarah"
"characters","Screen_Y","83%","ID","sarah"
"characters","Current","1","ID","johnny"
"characters","Scene_ID","forest-02","ID","johnny"
"characters","Screen_X","10","ID","johnny"
"characters","Screen_X","10%","ID","johnny"
"characters","Screen_Y","83.723958%","ID","johnny"
"characters","Scene_ID","forest-01","ID","johnny"
"characters","Screen_X","10","ID","johnny"
"characters","Screen_X","10%","ID","johnny"
"characters","Screen_Y","83.723958%","ID","johnny"
"characters","Screen_X","98.632813%","ID","johnny"
"characters","Screen_Y","83.723958%","ID","johnny"
"scenes","Audio_Filename","Aitua-Gray-Forest-Trap","Label","Forest"
"variables","Value","lost","ID","teamState"
"characters","Visible","1","ID","queen"
"characters","Scene_ID","forest-05","ID","johnny"
"characters","Screen_X","10","ID","johnny"
"characters","Current","1","ID","sarah"
"characters","Screen_X","72","ID","queen"
"characters","Screen_Y","57","ID","queen"
"variables","Value","queenTemp","ID","teamState"
"characters","Faerie Queen","Label","ID","queen"
"characters","Screen_X","65","ID","queen"
"characters","Screen_Y","72","ID","queen"
"actions","Allowed","1","Character","sarah"
"actions","Allowed","1","ID","pull"
"variables","Value","queen","ID","teamState"
"variables","Value","queenDecided","ID","teamState"
"variables","Value","cabin","ID","teamState"
"characters","Visible","0","ID","queen"
"characters","Screen_X","67","ID","johnny"
"characters","Screen_Y","72","ID","johnny"
"characters","Scene_ID","house","ID","johnny"
"characters","Screen_X","60","ID","sarah"
"characters","Screen_Y","88","ID","sarah"
"characters","Scene_ID","house","ID","sarah"
"characters","Screen_X","55","ID","lindsay"
"characters","Screen_Y","80","ID","lindsay"
"characters","Scene_ID","house","ID","lindsay"
"characters","Screen_X","3%","ID","queen"
"characters","Screen_Y","84.999998%","ID","queen"
"characters","Current","1","ID","lindsay"
"characters","Screen_X","30.000001%","ID","sarah"
"characters","Screen_Y","69.999997%","ID","sarah"
"characters","Scene_ID","bedroom","ID","lindsay"
"characters","Screen_X","7.5","ID","lindsay"
"characters","Screen_X","7.5%","ID","lindsay"
"characters","Screen_Y","69.999997%","ID","lindsay"
"characters","Scene_ID","hallway","ID","lindsay"
"characters","Screen_X","25","ID","lindsay"
"characters","Screen_Y","75","ID","lindsay"
"characters","Screen_X","37.890625%","ID","lindsay"
"characters","Screen_Y","96.354167%","ID","lindsay"
"characters","Screen_X","37.109375%","ID","lindsay"
"characters","Screen_Y","78.515625%","ID","lindsay"
"characters","Screen_X","37.5%","ID","lindsay"
"characters","Screen_Y","83.984375%","ID","lindsay"
"characters","Scene_ID","bedroom","ID","lindsay"
"characters","Screen_X","50","ID","lindsay"
"characters","Screen_Y","85","ID","lindsay"
"characters","Screen_X","50%","ID","lindsay"
"characters","Screen_Y","84.999998%","ID","lindsay"
"characters","Scene_ID","house","ID","lindsay"
"characters","Screen_X","30","ID","lindsay"
"characters","Screen_X","30.000001%","ID","lindsay"
"characters","Screen_Y","78.555727%","ID","lindsay"
"characters","Screen_X","42.773438%","ID","lindsay"
"characters","Screen_Y","77.734375%","ID","lindsay"
"characters","Current","1","ID","johnny"
"characters","Screen_X","30.000001%","ID","sarah"
"characters","Screen_Y","69.999997%","ID","sarah"
"characters","Scene_ID","bedroom","ID","johnny"
"characters","Screen_X","7.5","ID","johnny"
"characters","Screen_X","7.5%","ID","johnny"
"characters","Screen_Y","69.999997%","ID","johnny"
"characters","Screen_X","22.363281%","ID","johnny"
"characters","Screen_Y","67.578125%","ID","johnny"
